"","Country","variable","Education","Code","value"
"269","AT","2015",2,"F",61.7491587441996
"270","AT","2015",2,"G",64.199071075675
"271","AT","2015",2,"H",63.7844100516066
"272","AT","2015",2,"I",59.0411474330394
"273","AT","2015",2,"J",40.4217001156174
"274","AT","2015",2,"K",49.0415766575162
"275","AT","2015",2,"L",48.5246063149959
"276","AT","2015",2,"M_N",43.1128837168217
"277","AT","2015",3,"B",8.13690637570311
"278","AT","2015",3,"C",14.2100751596218
"279","AT","2015",3,"D",6.21081017116668
"280","AT","2015",3,"E",16.3698459197413
"281","AT","2015",3,"F",16.347132755831
"282","AT","2015",3,"G",14.7899669561979
"283","AT","2015",3,"H",15.965439229385
"284","AT","2015",3,"I",23.5584323756561
"285","AT","2015",3,"J",5.02111207317692
"286","AT","2015",3,"K",5.21951222355616
"287","AT","2015",3,"L",8.40222793238939
"288","AT","2015",3,"M_N",14.2645335756242
"289","AT","2016",1,"B",26.1809028685093
"290","AT","2016",1,"C",20.3743579331785
"291","AT","2016",1,"D",37.3279977589846
"292","AT","2016",1,"E",15.0690463837236
"293","AT","2016",1,"F",15.4069456737489
"294","AT","2016",1,"G",14.1695475205779
"295","AT","2016",1,"H",12.7291969489306
"296","AT","2016",1,"I",10.3266404476017
"297","AT","2016",1,"J",41.4010659791529
"298","AT","2016",1,"K",29.3457520194352
"299","AT","2016",1,"L",26.2444804422557
"300","AT","2016",1,"M_N",32.2376433759928
"301","AT","2016",2,"B",59.2976350337267
"302","AT","2016",2,"C",64.3426470458508
"303","AT","2016",2,"D",55.2194545045495
"304","AT","2016",2,"E",68.7670845538378
"305","AT","2016",2,"F",67.0045195147395
"306","AT","2016",2,"G",70.4947032034397
"307","AT","2016",2,"H",71.1333693936467
"308","AT","2016",2,"I",63.8640578836203
"309","AT","2016",2,"J",53.3771699294448
"310","AT","2016",2,"K",65.2929827570915
"311","AT","2016",2,"L",64.6747883409262
"312","AT","2016",2,"M_N",51.9356664270163
"313","AT","2016",3,"B",14.5214627496898
"314","AT","2016",3,"C",15.282994415611
"315","AT","2016",3,"D",7.45254755020142
"316","AT","2016",3,"E",16.1638697143644
"317","AT","2016",3,"F",17.5885364878923
"318","AT","2016",3,"G",15.3357490897179
"319","AT","2016",3,"H",16.137434495613
"320","AT","2016",3,"I",25.8093007840216
"321","AT","2016",3,"J",5.22176334634423
"322","AT","2016",3,"K",5.36126657389104
"323","AT","2016",3,"L",9.08073196187615
"324","AT","2016",3,"M_N",15.8266907557845
"325","AT","2017",1,"B",26.6042593866587
"326","AT","2017",1,"C",21.6363100800663
"327","AT","2017",1,"D",38.0503319203854
"328","AT","2017",1,"E",15.665778471157
"329","AT","2017",1,"F",16.3313661003485
"330","AT","2017",1,"G",15.3016445226967
"331","AT","2017",1,"H",13.8789020478725
"332","AT","2017",1,"I",11.080433242023
"333","AT","2017",1,"J",43.8648295588791
"334","AT","2017",1,"K",31.4390564337373
"335","AT","2017",1,"L",29.0146613493562
"336","AT","2017",1,"M_N",33.9805733412504
"337","AT","2017",2,"B",57.9459108412266
"338","AT","2017",2,"C",63.5027725249529
"339","AT","2017",2,"D",54.6232346445322
"340","AT","2017",2,"E",68.7870161607862
"341","AT","2017",2,"F",66.552047431469
"342","AT","2017",2,"G",69.5769868791103
"343","AT","2017",2,"H",69.8840687051415
"344","AT","2017",2,"I",63.2833793759346
"345","AT","2017",2,"J",51.4245612546802
"346","AT","2017",2,"K",63.051125779748
"347","AT","2017",2,"L",61.9591653347015
"348","AT","2017",2,"M_N",50.4376322031021
"349","AT","2017",3,"B",15.4498299583793
"350","AT","2017",3,"C",14.8609168827534
"351","AT","2017",3,"D",7.32643401715904
"352","AT","2017",3,"E",15.5472062528133
"353","AT","2017",3,"F",17.1165854670107
"354","AT","2017",3,"G",15.1213679462671
"355","AT","2017",3,"H",16.237028548494
"356","AT","2017",3,"I",25.6361875683069
"357","AT","2017",3,"J",4.71060883719474
"358","AT","2017",3,"K",5.50981857813895
"359","AT","2017",3,"L",9.02617210522294
"360","AT","2017",3,"M_N",15.581794641912
"361","BE","1999",1,"B",15.418880045414
