"","Estimate","Std. Error","t value","Pr(>|t|)"
"factor(year)2000",0.377980681645417,0.443843569301811,0.851607881218151,0.394455665255453
"factor(year)2001",-0.426434984118644,0.483944926897752,-0.881164282167878,0.378253729755599
"factor(year)2002",-1.32830928331663,0.527198592442069,-2.51956151317417,0.0117682230079179
"factor(year)2003",-1.65824012092668,0.501606405639232,-3.30585914032232,0.000950766108103201
"factor(year)2004",-0.917087555092499,0.571587241206412,-1.60445770825266,0.10865021133822
"factor(year)2005",-1.02968048188902,0.464710241505416,-2.21574734086643,0.0267351053752533
"factor(year)2006",0.31674265225099,0.433065905549119,0.731395956579326,0.46455742072934
"factor(year)2007",-0.146839373531846,0.425779322743377,-0.344872016296451,0.730199089967927
"factor(year)2008",-0.785229115038114,0.454738470814964,-1.72677080439413,0.0842450297745194
"factor(year)2009",-4.78453551546912,0.586869351439531,-8.15264164627636,0.00000000000000040655840139992
"factor(year)2010",-0.405958315616309,0.553262170766558,-0.733753972468141,0.463118859124005
"factor(year)2011",-0.528727818969536,0.533819614938422,-0.990461579480415,0.321976647198435
"factor(year)2012",-1.5287702249947,0.596368306576619,-2.56346658287464,0.0103802509281652
"factor(year)2013",-1.96319570561206,0.453308560782293,-4.33081542123116,0.0000150256970464005
"factor(year)2014",-0.904371732876318,0.432730547875662,-2.08991885901287,0.0366546244371905
"factor(year)2015",-0.784056840194364,0.447198492809767,-1.75326360173556,0.0795926785712957
"factor(code)13t15",-4.24168574700309,0.34303122511535,-12.365305069755,0.0000000000000000000000000000000000799468400039223
"factor(code)16t18",-1.30471416642879,0.253207957070528,-5.15273762137489,0.000000262459065171355
"factor(code)19",-1.3922158190023,0.815504192559537,-1.70718413431168,0.0878242170629041
"factor(code)20t21",0.422330476800123,0.278593570847045,1.51593762740488,0.129572170696658
"factor(code)22t23",-0.427350716854031,0.260324984586154,-1.64160469473724,0.100708810151756
"factor(code)24t25",0.185629985515144,0.264907444688764,0.700735253904391,0.483487359612758
"factor(code)26t27",0.0117774841609021,0.306001048174596,0.0384883784913774,0.969299197719197
"factor(code)28",0.411838045274902,0.318046706811945,1.29489800225605,0.195390457179763
"factor(code)29t30",-0.115219941540228,0.376867470549827,-0.305730662750301,0.759817183806163
"factor(code)31t33",0.105727928249581,0.295212634502467,0.358141610123728,0.720246201159339
"factor(code)45",1.43139322421655,0.282632740059866,5.06449898165853,0.000000418047365215541
"factor(code)46",1.21035750836541,0.238406752398617,5.07685917528748,0.000000391834194118653
"factor(code)47",1.46186941095268,0.222644975567283,6.56592140571755,0.0000000000547328167747988
"factor(code)49t52",1.24412039803104,0.231696463025263,5.36961325083063,0.0000000809815580819621
"factor(code)53",0.0579426898379836,0.29209678685383,0.198368117849167,0.842761786229993
"factor(code)58t60",0.861748175237057,0.256005939210593,3.36612571526388,0.000765685339956814
"factor(code)61",-0.0947054617122049,0.330212364252716,-0.286801682688433,0.774271138663926
"factor(code)62t63",5.80111575161155,0.401799637679261,14.4378322118905,0.000000000000000000000000000000000000000000000105961716318498
"factor(code)B",-1.18711348626385,0.436335718942423,-2.72064246571685,0.00652872512384708
